DNI,nombre_completo,promedio_ponderado,creditos_aprobados,facultad,anio_ingreso,condicion_socioeconomica
56091474,Nilo Avilés Pizarro,18.86,94,Psicología,2024,Alto
54047256,Rolando Cerro Andrés,16.01,77,Psicología,2023,Medio
68053744,Demetrio del Nogueira,16.11,41,Estomatología,2022,Medio
25009857,Sofía Escolano Elías,15.26,171,Estomatología,2023,Bajo
39762112,Feliciano de Garcés,17.69,78,Ciencias,2020,Bajo
29550408,Diego García,14.69,164,Salud Pública,2021,Alto
89074606,Julieta Quesada Coello,16.72,132,Veterinaria,2024,Bajo
11323573,Azahar Mendez-Laguna,14.27,151,Salud Pública,2020,Medio
58723026,Esmeralda María Fernanda Juárez Izaguirre,11.8,46,Veterinaria,2022,Bajo
67563920,Cecilio Macías,18.34,158,Medicina,2019,Bajo
72063706,Domitila Esther Melero Coloma,12.97,167,Estomatología,2024,Medio
95980164,Abril Garcés Cruz,15.16,82,Psicología,2019,Medio
96716492,Flavio del Ferrer,18.27,74,Veterinaria,2024,Alto
66065509,Gil Vendrell Granados,17.39,51,Estomatología,2023,Medio
21811256,Ana Belén Mayo-Costa,18.36,99,Psicología,2019,Medio
87675749,Modesta Sebastián Puig,14.46,177,Ciencias,2022,Alto
41284135,Cándido Jose Angel Costa Gámez,11.78,184,Salud Pública,2024,Bajo
95389793,Gloria Flores Garcia,16.32,44,Psicología,2024,Medio
36606473,Selena Zabala,11.73,116,Ciencias,2019,Bajo
60428567,Noelia Ibañez Heras,12.49,45,Estomatología,2021,Medio
50058473,Milagros Nadal Quirós,17.64,111,Ciencias,2019,Medio
82301256,Carlota Plaza Romero,19.12,93,Estomatología,2019,Bajo
66732993,Pascual Abril Sarabia,17.08,100,Ciencias,2024,Bajo
28371380,Belen Cañellas Escobar,13.57,66,Ciencias,2024,Bajo
20741931,Jose Carlos Herrero,16.83,26,Medicina,2023,Bajo
66428917,Úrsula Dora Durán Sevilla,11.74,146,Psicología,2022,Bajo
19852602,Jimena Bayona,12.23,151,Veterinaria,2018,Alto
66962992,Otilia Narváez Cánovas,14.32,135,Medicina,2022,Medio
93327622,Ruy del Arenas,11.5,62,Estomatología,2019,Bajo
35710783,Leocadio Correa Cuevas,11.5,118,Medicina,2020,Bajo
23153471,Juana Feliu,14.7,153,Medicina,2024,Alto
67774993,Evita Luisa Abascal Pérez,18.55,100,Ciencias,2020,Medio
50088248,Calista Asenjo Peláez,12.78,143,Psicología,2018,Bajo
29439451,Yago Cánovas-Machado,18.74,99,Salud Pública,2018,Alto
34618452,Daniel Rivero-Jaén,12.33,101,Salud Pública,2020,Alto
59915071,Fanny Alcázar Pereira,14.63,104,Medicina,2022,Medio
87384615,Glauco de Rocha,19.65,51,Estomatología,2023,Bajo
27202851,Gala Pujol Fajardo,11.06,165,Psicología,2023,Alto
87729419,Berto Carrillo Murcia,16.81,20,Estomatología,2018,Bajo
10917536,Teófila Priego Gutierrez,15.43,67,Medicina,2023,Alto
64706765,Teodora Artigas-Sáez,11.1,77,Salud Pública,2021,Alto
91991290,Jennifer Santana-Carrillo,13.93,95,Psicología,2021,Alto
44942502,Amando Perea Gallego,15.95,88,Estomatología,2020,Bajo
52283294,Josefina Ferrándiz,17.78,132,Veterinaria,2023,Bajo
15318965,Julián Castrillo Aparicio,13.07,183,Salud Pública,2019,Bajo
54169192,Dani Córdoba Montaña,20.0,45,Medicina,2023,Bajo
18410264,Virgilio Cuadrado Lara,11.62,107,Veterinaria,2021,Alto
94990131,Javier Castilla Núñez,13.21,178,Salud Pública,2019,Alto
75019733,Bernardino Azorin Piñol,19.54,59,Estomatología,2022,Alto
65910610,Valero Nicolau Mulet,11.01,44,Medicina,2020,Medio
61904488,Abel Valderrama Redondo,16.58,69,Psicología,2021,Alto
70903062,Sarita Galán Arregui,18.96,81,Estomatología,2020,Bajo
15430539,Silvia Torrents Cerdán,12.59,186,Salud Pública,2020,Bajo
23518370,Primitiva de Calzada,16.56,166,Salud Pública,2019,Medio
43058745,Jordana Matas Lerma,16.72,95,Estomatología,2022,Bajo
90307904,Horacio Gallo Cáceres,16.3,21,Medicina,2020,Alto
25154299,Jordán Amat Galán,14.03,190,Medicina,2022,Bajo
63671706,Gloria Osuna Benitez,19.08,89,Psicología,2024,Bajo
63422603,Azeneth Morena Aguirre Alfonso,18.6,181,Medicina,2018,Medio
23801949,Manuelita del Marin,19.22,49,Medicina,2020,Alto
62353546,Abel de Alcántara,12.17,125,Medicina,2018,Medio
23169109,Arsenio Ojeda-Goicoechea,13.86,162,Ciencias,2020,Bajo
35322834,Ximena Cepeda Gutiérrez,15.23,169,Veterinaria,2021,Medio
18069889,Pepito Sotelo Nebot,12.89,127,Salud Pública,2021,Alto
58776162,Salvador Puig-Parra,17.01,28,Veterinaria,2021,Alto
37189011,Victoriano Arcos Peláez,17.87,69,Psicología,2019,Medio
56204208,Serafina Cámara,13.6,44,Estomatología,2021,Alto
62635243,Julie Maldonado,12.41,188,Ciencias,2020,Alto
14043283,Leonel Roca Quirós,16.81,73,Psicología,2020,Medio
31544533,Daniela Ballester Ángel,12.52,70,Ciencias,2019,Bajo
87965205,Pepita Cabrero Landa,14.01,160,Ciencias,2018,Alto
36917650,Mar Múgica-Rey,13.0,56,Salud Pública,2023,Medio
59569253,Carlota Pombo,12.03,153,Medicina,2020,Bajo
23004710,Roberta Cobo Díez,11.01,64,Veterinaria,2022,Alto
81827565,Serafina Guijarro Baños,13.79,79,Salud Pública,2024,Medio
68431843,Moreno Lozano-Osorio,19.54,116,Ciencias,2022,Alto
81195246,Gerardo Torrens,12.72,23,Ciencias,2020,Medio
63246634,Andrés Marco,17.09,166,Psicología,2020,Alto
26051681,Marco Vergara Sainz,11.39,109,Estomatología,2024,Bajo
70453847,Azahar de Robledo,14.71,102,Ciencias,2018,Medio
18163398,Renato del Becerra,14.08,24,Veterinaria,2019,Bajo
11382624,Eduardo Valero,15.85,28,Psicología,2024,Medio
74676404,Jordana Sanz,12.21,158,Ciencias,2020,Bajo
20049810,Marc Coronado Corominas,19.47,189,Estomatología,2024,Alto
41411806,Gertrudis del Benito,13.81,112,Medicina,2022,Medio
93686312,Isaías de Sanmartín,17.24,80,Veterinaria,2023,Alto
49640074,Chelo Aroca-Hernando,15.72,129,Salud Pública,2024,Medio
29575239,Jessica Palacio Espinosa,12.83,152,Medicina,2022,Medio
72001319,Charo Enríquez Carbonell,17.02,179,Medicina,2023,Medio
36879724,Albert Pina Pedrero,11.16,199,Ciencias,2020,Alto
28738647,Caridad Ramos Oliva,14.69,89,Veterinaria,2018,Alto
21493397,Pastor Sanz-Royo,19.33,121,Ciencias,2022,Bajo
68518292,Isidro Gallart Puga,14.96,49,Veterinaria,2023,Alto
54008827,Rosaura Bermúdez,12.42,44,Salud Pública,2018,Alto
21902795,Reynaldo Haro Macías,13.15,128,Psicología,2022,Medio
31332774,Danilo Rey Gelabert,14.83,195,Veterinaria,2024,Bajo
94876294,Susanita Arana Pera,18.65,26,Veterinaria,2023,Alto
50400073,Tania Cabezas Peral,17.91,51,Medicina,2018,Alto
43185415,Raimundo Guillen Cerdá,13.83,99,Veterinaria,2020,Alto
38959203,Valeria Miralles Montoya,19.52,34,Estomatología,2021,Bajo
24831590,Tomás Castilla Mármol,17.31,101,Medicina,2020,Bajo
48244890,Paz Campo,14.95,174,Psicología,2023,Medio
19563101,Marta Nogueira Real,15.97,107,Psicología,2023,Alto
32380744,Estela Guiomar Pazos Beltrán,13.7,86,Veterinaria,2021,Alto
87395945,Lucila Goicoechea Pedro,15.68,108,Ciencias,2018,Medio
34774398,Odalys Leon-Borja,16.97,162,Ciencias,2018,Medio
32991815,Anita Lluch Anguita,11.15,137,Medicina,2024,Alto
22675318,Prudencia del Soria,16.67,21,Veterinaria,2024,Bajo
39947327,Nidia Julián Castell,19.11,160,Ciencias,2021,Bajo
39847205,Aurelio Farré Sureda,13.38,184,Medicina,2023,Bajo
66351278,Julián Pacheco Zabaleta,17.73,71,Salud Pública,2022,Medio
64464207,René Ruano,14.17,87,Salud Pública,2019,Bajo
68882089,Rosenda Olivares Navas,16.11,112,Salud Pública,2019,Alto
51490488,Luis Ángel Tudela Gibert,16.34,73,Psicología,2022,Medio
71927608,Teresita Abad Cadenas,11.94,192,Veterinaria,2019,Medio
39802986,Purificación Marcos Amorós,14.22,190,Salud Pública,2020,Alto
74628992,Raimundo Varela,19.07,119,Veterinaria,2021,Bajo
79774977,Cristian Múñiz Puig,18.14,194,Salud Pública,2023,Medio
85379904,Rubén Donaire Hervás,12.53,186,Medicina,2021,Medio
82875644,Maura Amigó Higueras,16.42,71,Estomatología,2022,Bajo
35243348,Manuela Quintana Ferrándiz,11.25,57,Psicología,2020,Alto
61915560,Roberto Cervantes Vidal,18.28,167,Salud Pública,2022,Alto
89055634,Otilia Company Beltrán,17.67,193,Medicina,2024,Medio
42888466,Víctor Revilla Román,17.76,20,Ciencias,2023,Medio
27537334,Hector Verdú Donoso,18.94,67,Veterinaria,2022,Alto
85271827,Jesusa del Campos,19.51,183,Medicina,2023,Alto
40614795,Albina Tenorio Cabello,13.15,54,Medicina,2023,Alto
17969341,Alejo Machado Fuente,13.06,54,Salud Pública,2021,Bajo
91098791,Celia Cañete Valverde,17.82,158,Medicina,2020,Alto
93535942,Lucía Villalonga-Suarez,16.68,160,Psicología,2023,Alto
17645363,Anna Ricart Lucas,19.03,192,Psicología,2023,Alto
92180047,Anita Ricart Granados,15.89,180,Estomatología,2019,Alto
20089716,Urbano Cornejo Cuervo,16.92,170,Medicina,2024,Bajo
69849090,María Del Carmen Rico Páez,13.43,69,Psicología,2021,Medio
28057547,Luis Ángel del Crespo,15.62,67,Estomatología,2022,Medio
61462108,Encarnita Rivera Avilés,13.97,117,Estomatología,2021,Medio
20938489,Luciana Torrents Llano,13.82,160,Salud Pública,2018,Medio
46147356,Tomás Solano Escolano,11.73,85,Psicología,2021,Bajo
22864010,Nazaret Valera Requena,17.45,51,Veterinaria,2018,Medio
72003608,Luis Ángel Montaña Peláez,13.3,164,Estomatología,2021,Alto
74904069,José Luis Falcó Amo,13.08,54,Medicina,2022,Medio
97449023,Joaquín Casares Márquez,11.42,164,Medicina,2022,Bajo
93893612,Fanny del Bolaños,19.5,153,Salud Pública,2018,Medio
38964461,Florentina de Murillo,11.46,192,Estomatología,2019,Bajo
89499169,Marisol del Alcolea,16.2,38,Psicología,2020,Medio
92215337,Fabricio Cabello Cánovas,13.35,45,Veterinaria,2021,Medio
68158019,Ibán Francisco Uribe,16.04,37,Estomatología,2022,Medio
69876179,Fabiana Isabel Peiró Ocaña,11.34,151,Ciencias,2021,Bajo
99052066,Ángela Ligia Ríos Murillo,17.6,124,Veterinaria,2019,Bajo
65691225,Isaías Morell Durán,13.71,169,Salud Pública,2022,Bajo
88800826,Benito Tomas Manuel,14.39,75,Estomatología,2022,Medio
48595085,Rosenda Salamanca Zorrilla,14.44,76,Veterinaria,2018,Medio
74374590,Raúl del Piñeiro,17.74,30,Medicina,2024,Bajo
87468706,Carlota Bosch Álvaro,18.75,127,Salud Pública,2022,Medio
74535533,Zaira Tatiana Merino Pastor,17.02,134,Salud Pública,2023,Bajo
44907869,Felix Madrigal Pablo,13.42,55,Estomatología,2022,Alto
55575376,Emiliano Estévez-Osuna,19.43,55,Veterinaria,2020,Alto
27100722,Guillermo Pou-Molina,14.6,45,Veterinaria,2023,Bajo
89565797,Emilio Bertrán Crespi,18.76,143,Salud Pública,2020,Bajo
46775254,Nicolás Borja Gelabert Arrieta,11.86,118,Medicina,2018,Medio
59785235,Maricruz Vilalta,17.3,106,Psicología,2023,Alto
62519497,Bonifacio Coll Segura,18.66,200,Veterinaria,2024,Medio
56629515,Luna Alfaro-Pons,19.97,107,Medicina,2022,Medio
64018672,Benigno Pla Montserrat,13.94,171,Salud Pública,2023,Medio
47294219,Juan de Nadal,15.69,154,Veterinaria,2024,Alto
65624911,Felipa Regina Rocha Arévalo,18.51,154,Ciencias,2024,Bajo
33561052,Felix Jacobo Ferrero Landa,12.37,41,Ciencias,2020,Medio
90885368,Narcisa Cadenas Roldan,13.87,147,Veterinaria,2018,Bajo
44501146,Félix Expósito Bastida,14.46,46,Ciencias,2022,Medio
63345004,Susana Teruel Viñas,12.0,182,Ciencias,2021,Alto
22848265,Vanesa Rosalina Solera Campillo,13.74,20,Estomatología,2021,Bajo
48753015,Maximino Lledó-Barba,14.54,78,Estomatología,2019,Alto
24636296,Saturnina Gonzalo Ferrera,17.51,58,Psicología,2019,Alto
84515644,Julio Delgado,16.22,176,Veterinaria,2023,Alto
77452913,Azahar Roma Lerma,12.05,79,Veterinaria,2022,Bajo
80177748,Chus Serrano Goñi,19.74,21,Medicina,2019,Alto
69477853,Marcelino Bernardo Castejón Cal,15.9,104,Veterinaria,2020,Alto
37131491,Emperatriz Zamora Palomar,17.28,110,Salud Pública,2022,Bajo
41851346,Íngrid Vicente Heredia,15.47,31,Estomatología,2020,Medio
98332832,Vito Canals Gallart,19.65,21,Salud Pública,2019,Medio
79652470,Guadalupe Casanovas-Caparrós,17.78,41,Ciencias,2021,Medio
29140193,María Pilar Soriano Calderon,16.58,31,Veterinaria,2020,Medio
16154418,Encarnita Ledesma Adán,16.87,65,Veterinaria,2020,Bajo
86926220,Victoriano Real Sancho,16.14,111,Estomatología,2020,Alto
18398860,Ciro Castañeda Sanz,16.36,192,Salud Pública,2022,Bajo
28720292,Juan Luis Marcio Aguado Vidal,12.99,54,Medicina,2018,Bajo
68171357,Vidal Velázquez Ugarte,16.82,54,Psicología,2018,Alto
58221224,Chuy Rodrigo Núñez,17.68,96,Medicina,2021,Bajo
79514960,Ramón Joel Cornejo Bosch,17.74,183,Salud Pública,2024,Medio
27968120,María Pilar Maldonado Fabregat,19.99,168,Psicología,2024,Alto
84188286,Chus Tiburcio Pellicer Iriarte,11.8,108,Veterinaria,2021,Bajo
43222457,Alicia Lluch Diéguez,14.81,67,Estomatología,2023,Alto
50403286,América Porras Almeida,15.82,173,Salud Pública,2018,Alto
20110662,Lupe Montenegro Querol,11.38,147,Veterinaria,2021,Medio
35596786,Mayte Puente Torres,16.17,187,Estomatología,2023,Alto
79319026,Carmen de Espejo,14.55,71,Psicología,2020,Alto
15831171,Azeneth Arregui Alsina,18.17,159,Veterinaria,2024,Alto
46186463,Azeneth Anguita,17.08,61,Medicina,2019,Alto
25590064,Edelmira de Pina,18.15,182,Salud Pública,2023,Bajo
77012903,Adoración Marín Ordóñez,18.29,116,Psicología,2021,Alto
78905896,Josefina Rocha Coca,12.7,90,Estomatología,2023,Bajo
47064203,Primitiva Alvarado-Crespi,19.48,31,Estomatología,2020,Medio
56423148,Graciano Valera Pazos,15.71,189,Medicina,2023,Alto
88126412,Carla Vázquez Peñas,17.84,114,Ciencias,2022,Bajo
75186211,Salud Priscila Carbonell Carnero,15.1,147,Medicina,2022,Alto
63618239,Teresa Rozas,12.66,51,Veterinaria,2022,Medio
86550663,Nerea Báez Monreal,18.6,140,Veterinaria,2019,Bajo
99715304,Casandra Vélez-Barral,12.61,65,Estomatología,2018,Medio
57334433,Claudio Huguet-Aranda,13.93,94,Veterinaria,2023,Bajo
23854348,Jordi Avilés-Amor,17.61,148,Salud Pública,2024,Medio
11300357,Dionisio Jose Antonio Santamaría Alsina,14.88,20,Ciencias,2021,Medio
94524503,Xavier Espinosa Fortuny,16.63,104,Estomatología,2023,Medio
85383738,Andrés Felipe Bello Coll,14.77,38,Veterinaria,2023,Medio
55445795,Consuelo Herminia Fuertes Solana,11.19,166,Psicología,2023,Medio
82960811,Remigio Ortiz Bueno,13.49,116,Ciencias,2020,Alto
32074347,Reyna Teruel Núñez,17.12,78,Ciencias,2022,Bajo
37330717,Noa Ferrer Estrada,12.21,92,Veterinaria,2019,Medio
12086044,Gerardo Carreras Hervás,13.73,73,Veterinaria,2019,Alto
38372502,Vito Company Osuna,13.72,66,Veterinaria,2018,Alto
88189569,Guillermo Amat,13.43,54,Ciencias,2018,Medio
24977941,Celestino Figueroa Alcalde,11.63,106,Psicología,2018,Bajo
67018247,Isidora Alemany Jerez,11.0,105,Salud Pública,2019,Bajo
16104889,Chus León Velázquez,17.89,72,Psicología,2024,Medio
32150528,Evelia Andreu Montenegro,12.56,86,Salud Pública,2022,Medio
12055073,Azahara del Acero,16.54,162,Ciencias,2023,Medio
93393697,Clarisa del Gonzalez,14.73,149,Salud Pública,2021,Medio
71329677,Isidro Pons Calderón,18.9,157,Psicología,2019,Medio
36924559,Fernando Solís,17.87,111,Estomatología,2019,Alto
46314269,Leire Macias-Juliá,17.96,168,Veterinaria,2021,Bajo
54426809,Merche Leal Arribas,19.51,173,Psicología,2023,Alto
38495513,Che Victorino Ruiz Calvo,14.37,24,Salud Pública,2020,Medio
79071765,Itziar del Pelayo,14.29,42,Medicina,2021,Alto
12136180,Malena Parra Martin,12.8,88,Psicología,2023,Alto
30578543,Calista Mosquera Tapia,19.92,67,Estomatología,2019,Bajo
61212785,Fortunata Anaya Juliá,17.73,61,Medicina,2022,Medio
49599107,Ana Barco Torrens,19.03,55,Ciencias,2020,Alto
88076311,Macaria Marcela Gutiérrez Boix,16.18,195,Estomatología,2019,Medio
39180917,Patricia Lobo Nieto,11.87,120,Veterinaria,2019,Alto
54598175,Anita Hilda Lastra Domínguez,19.62,170,Salud Pública,2019,Alto
33813207,Cloe Eulalia Raya Cañizares,14.42,43,Salud Pública,2021,Bajo
50983210,Nacio Leiva,11.89,69,Veterinaria,2020,Bajo
87672212,Omar Sierra Barranco,17.01,194,Medicina,2022,Bajo
78172055,Hector del Pintor,14.62,188,Psicología,2022,Medio
23478714,Yago del Cózar,18.28,60,Ciencias,2021,Medio
21490953,Eufemia Tomé Bellido,11.49,44,Ciencias,2024,Medio
71355423,Noé Borrás-Torrent,13.18,195,Salud Pública,2022,Medio
34821116,Cosme Ramis Morán,15.94,97,Salud Pública,2018,Bajo
82302999,África Tapia-Estévez,16.32,141,Medicina,2019,Alto
80856235,Nicolasa Gisbert,13.59,109,Ciencias,2020,Alto
83980020,Esther Roda Patiño,18.39,120,Medicina,2021,Bajo
97205407,Maristela Esmeralda Angulo Huguet,19.38,150,Ciencias,2020,Alto
83773171,Ruy Villar Cabrera,14.5,193,Salud Pública,2022,Alto
55809718,Salud Amigó Ayala,17.36,125,Medicina,2022,Medio
87594645,Esperanza Manjón Llamas,16.19,191,Estomatología,2020,Alto
68669293,Isaías de Godoy,12.0,154,Estomatología,2020,Bajo
84276953,Verónica Jerez Gallo,18.04,46,Medicina,2024,Alto
95909506,Che del Díaz,13.09,39,Psicología,2019,Bajo
30226858,Joaquina Palomino Infante,16.86,180,Psicología,2019,Alto
78936704,Bárbara Mateu Vázquez,17.56,143,Salud Pública,2018,Medio
65789561,Aroa Heras Bustamante,17.71,168,Salud Pública,2024,Alto
75036191,Ángeles Elías Tomas,15.75,68,Salud Pública,2019,Bajo
33426951,Jordán Simó-Rosselló,13.12,64,Medicina,2020,Bajo
12234123,Silvestre Calatayud Álvarez,14.73,83,Ciencias,2018,Medio
85814429,Cristian Gisbert Sureda,14.67,191,Estomatología,2022,Bajo
11868564,Ángeles Aparicio-Oliveras,16.81,190,Salud Pública,2018,Medio
84170889,Aroa Rozas Yáñez,11.39,74,Medicina,2020,Alto
51908996,Mateo Ruiz Bauzà,18.74,98,Estomatología,2024,Alto
55764725,Elena Matas Guitart,13.25,39,Salud Pública,2018,Medio
43083483,Ariadna Valencia Infante,11.42,124,Veterinaria,2024,Alto
42117053,Victoriano Cueto Lasa,13.06,190,Psicología,2021,Bajo
13010757,Lisandro Correa,18.31,93,Salud Pública,2021,Bajo
19905428,Edelmiro Hilario Donaire Martorell,17.77,29,Estomatología,2019,Alto
93516599,Heraclio Segura Acevedo,14.17,46,Salud Pública,2022,Medio
89351271,Edelmiro del Bueno,16.0,177,Salud Pública,2022,Bajo
80521902,Carmina Robledo Martí,11.19,91,Psicología,2018,Alto
70644236,Eliana Plana Benitez,15.0,84,Medicina,2023,Medio
69341409,Felipa Elorza-Navarrete,14.85,102,Medicina,2022,Bajo
36313009,Edu Epifanio Milla Rojas,16.62,63,Ciencias,2023,Alto
63322082,Leire Hervás Quirós,13.06,91,Psicología,2024,Medio
37630064,Marcial Solé Martin,16.85,181,Medicina,2021,Medio
82098561,Gisela Marti Mate,15.94,116,Veterinaria,2023,Alto
49117042,Cosme Torrents,16.27,96,Estomatología,2018,Bajo
59335405,Aristides Santamaría Casado,18.05,124,Veterinaria,2024,Alto
44204872,Ana Rey Llano,11.81,178,Estomatología,2020,Alto
83583881,Fidela Andreu Piñol,15.43,181,Psicología,2023,Alto
28136005,Pablo Reina Gutiérrez,17.74,138,Salud Pública,2018,Medio
78977602,Calista Bolaños,19.62,73,Psicología,2021,Alto
77799514,Modesta Sureda,19.31,43,Psicología,2024,Medio
17853347,Rosalinda Palma Pedrero,11.38,50,Veterinaria,2019,Bajo
59580292,Eric Murillo Ponce,16.51,91,Ciencias,2018,Bajo
76792558,Micaela Mateu Román,11.18,183,Psicología,2018,Medio
12725774,Edelmira Guillen Peláez,15.04,150,Psicología,2022,Alto
94668008,Luís Juárez Roldan,14.4,62,Veterinaria,2022,Alto
73332476,Ariadna Ríos Arregui,16.7,125,Medicina,2022,Alto
12328195,Javier Gual Soria,15.3,131,Veterinaria,2018,Bajo
55610612,Tatiana Avilés Mas,11.24,78,Ciencias,2018,Medio
83344636,Carolina Rodrigo-Díez,14.53,83,Salud Pública,2019,Alto
37179421,Pánfilo del Losada,15.68,184,Veterinaria,2023,Bajo
